type,abstract,booktitle,date-added,date-modified,doi,isbn,issn,keywords,pages,title,volume,year,bdsk-url-1,author,journal,number,url,bdsk-url-2,archiveprefix,arxivid,eprint,pmid
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s40012-018-0198-8,,2277-9078,,215--219,Farmer-friendly portable system for diagnosis of pest attack in cashew trees,6,2018,http://link.springer.com/article/10.1007/s40012-018-0198-8,"[{'first': 'Yogini', 'last': '{Venkatraman Prabhu}'}, {'first': 'Jivan', 'middle': 'S.', 'last': 'Parab'}, {'first': 'Rajendra', 'middle': 'S.', 'last': 'Gad'}, {'first': 'Gaurish', 'middle': 'M.', 'last': 'Naik'}]",CSI Transactions on ICT,2,http://link.springer.com/article/10.1007/s40012-018-0198-8,https://doi.org/10.1007/s40012-018-0198-8,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s00521-017-3202-6,,09410643,,2839--2841,Guest editorial: New trends in data pre-processing methods for signal and image classification,28,2017,http://link.springer.com/article/10.1007/s00521-017-3202-6,"[{'first': 'Kemal', 'last': 'Polat'}, {'first': 'Hariharan', 'last': 'Muthusamy'}, {'first': 'Rajendra', 'last': 'Acharya'}, {'first': 'Yanhui', 'last': 'Guo'}]",Neural Computing and Applications,10,http://link.springer.com/article/10.1007/s00521-017-3202-6,https://doi.org/10.1007/s00521-017-3202-6,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1186/s42162-020-00113-9,,,,,Abstracts from the 9th DACH+ Conference on Energy Informatics,3,2020,http://link.springer.com/article/10.1186/s42162-020-00113-9,,Energy Informatics,S2,http://link.springer.com/article/10.1186/s42162-020-00113-9,https://doi.org/10.1186/s42162-020-00113-9,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:08 +1000,10.1007/s11107-015-0530-2,,1387974X,,,Special issue on energy-efficient optical networks,30,2015,http://link.springer.com/article/10.1007/s11107-015-0530-2,"[{'first': 'Paolo', 'last': 'Monti'}, {'first': 'Annalisa', 'last': 'Morea'}, {'first': 'Ampalavanapillai', 'last': 'Nirmalathas'}, {'first': 'Vinod', 'middle': 'M.', 'last': 'Vokkarane'}]",Photonic Network Communications,1,http://link.springer.com/article/10.1007/s11107-015-0530-2,https://doi.org/10.1007/s11107-015-0530-2,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/978-3-319-13695-0_17,,,,176--185,M3art: A Database of Models of Canvas Paintings,,2014,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_17,"[{'first': 'Jan', 'last': 'Bla{\\v{z}}ek'}, {'first': 'Jind{\\v r}ich', 'last': 'Soukup'}, {'first': 'Barbara', 'last': ""Zitov{\\'{a}}""}, {'first': 'Jan', 'last': 'Flusser'}, {'first': 'Janka', 'last': ""Hradilov{\\'{a}}""}, {'first': 'David', 'last': 'Hradil'}, {'first': ""Tom{\\'{a}}{\\v{s}}"", 'last': ""Tich{\\'{y}}""}]","Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection",,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_17,https://doi.org/10.1007/978-3-319-13695-0_17,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:03 +1000,10.1007/s10639-018-09856-1,,15737608,,,"Editorial for EAIT issue 1, 2019",24,2019,http://link.springer.com/article/10.1007/s10639-018-09856-1,"[{'first': 'Arthur', 'last': 'Tatnall'}]",Education and Information Technologies,1,http://link.springer.com/article/10.1007/s10639-018-09856-1,https://doi.org/10.1007/s10639-018-09856-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s11623-014-0211-9,,1614-0702,,482--486,{{\'{U}}berschussdaten in Retinabildern},38,2014,http://link.springer.com/article/10.1007/s11623-014-0211-9,"[{'first': 'Michael', 'last': 'Friedewald'}, {'first': 'Sebastian', 'last': 'Wawrzyniak'}, {'first': 'Frank', 'last': 'Pallas'}]",Datenschutz und Datensicherheit - DuD,7,http://link.springer.com/article/10.1007/s11623-014-0211-9,https://doi.org/10.1007/s11623-014-0211-9,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/978-3-030-77431-8_18,,,,274--294,How to Access and Transform the Unconscious for Cultural Development,,2021,http://link.springer.com/chapter/10.1007/978-3-030-77431-8_18,"[{'first': 'Matthias', 'last': 'Rauterberg'}]",Culture and Computing. Design Thinking and Cultural Computing,,http://link.springer.com/chapter/10.1007/978-3-030-77431-8_18,https://doi.org/10.1007/978-3-030-77431-8_18,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/978-3-030-76776-1_4,,,,46--66,DDoS Attack Detection Using Artificial Neural Network,,2021,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_4,"[{'first': 'Abhinav', 'last': 'Shah'}, {'first': 'Digvijaysinh', 'last': 'Rathod'}, {'first': 'Dharmesh', 'last': 'Dave'}]","Computing Science, Communication and Security",,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_4,https://doi.org/10.1007/978-3-030-76776-1_4,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/978-3-662-45960-7_17,,,,232--246,Harnessing Content and Context for Enhanced Decision Making,,2014,http://link.springer.com/chapter/10.1007/978-3-662-45960-7_17,"[{'first': 'Paulo', 'last': 'Novais'}, {'first': 'Davide', 'last': 'Carneiro'}, {'first': 'Francisco', 'last': 'Andrade'}, {'first': ""Jos{\\'{e}}"", 'last': 'Neves'}]",AI Approaches to the Complexity of Legal Systems,,http://link.springer.com/chapter/10.1007/978-3-662-45960-7_17,https://doi.org/10.1007/978-3-662-45960-7_17,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s11623-019-1215-2,,1614-0702,,16--22,Venen Biometrie,44,2020,http://link.springer.com/article/10.1007/s11623-019-1215-2,"[{'first': 'Andreas', 'last': 'Uhl'}]",Datenschutz und Datensicherheit - DuD,1,http://link.springer.com/article/10.1007/s11623-019-1215-2,https://doi.org/10.1007/s11623-019-1215-2,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s40012-016-0150-8,,2277-9078,,149--160,Fabrication and characterization of organic semiconductor based photodetector for optical communication,5,2017,http://link.springer.com/article/10.1007/s40012-016-0150-8,"[{'first': 'Debarati', 'last': 'Nath'}, {'first': 'Puja', 'last': 'Dey'}, {'first': 'Debajit', 'last': 'Deb'}, {'first': 'Jayanta', 'middle': 'Kumar', 'last': 'Rakshit'}, {'first': 'Jitendra', 'middle': 'Nath', 'last': 'Roy'}]",CSI Transactions on ICT,2,http://link.springer.com/article/10.1007/s40012-016-0150-8,https://doi.org/10.1007/s40012-016-0150-8,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s40012-020-00289-1,,2277-9078,,331--345,"Wireless sensor networks: a review of motes, wireless technologies, routing algorithms and static deployment strategies for agriculture applications",8,2020,http://link.springer.com/article/10.1007/s40012-020-00289-1,"[{'first': 'Pawan', 'last': 'Kumar'}, {'first': 'S.', 'middle': 'R. N.', 'last': 'Reddy'}]",CSI Transactions on ICT,3,http://link.springer.com/article/10.1007/s40012-020-00289-1,https://doi.org/10.1007/s40012-020-00289-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s42979-020-00357-y,,2662-995X,,,Pixel-Level Weed Classification Using Evolutionary Selection of Local Binary Pattern in a Stochastic Optimised Ensemble,1,2020,http://link.springer.com/article/10.1007/s42979-020-00357-y,"[{'first': 'Basil', 'middle': 'Andy', 'last': 'Lease'}, {'first': 'W.', 'middle': 'K.', 'last': 'Wong'}, {'first': 'Lenin', 'last': 'Gopal'}, {'first': 'Choo', 'middle': 'W. R.', 'last': 'Chiong'}]",SN Computer Science,6,http://link.springer.com/article/10.1007/s42979-020-00357-y,https://doi.org/10.1007/s42979-020-00357-y,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/s11042-017-5154-3,,15737721,,24589--24593,Computational intelligence for multimedia and industrial applications,76,2017,http://link.springer.com/article/10.1007/s11042-017-5154-3,"[{'first': 'Gwanggil', 'last': 'Jeon'}, {'first': 'Ernesto', 'last': 'Damiani'}, {'first': 'Marco', 'last': 'Anisetti'}]",Multimedia Tools and Applications,23,http://link.springer.com/article/10.1007/s11042-017-5154-3,https://doi.org/10.1007/s11042-017-5154-3,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/s41650-017-0039-1,,2096-1081,,75--87,Design and realization of indoor VLC-Wi-Fi hybrid network,2,2017,http://link.springer.com/article/10.1007/s41650-017-0039-1,"[{'first': 'Wentao', 'last': 'Zhang'}, {'first': 'Li', 'last': 'Chen'}, {'first': 'Xiaohui', 'last': 'Chen'}, {'first': 'Zihao', 'last': 'Yu'}, {'first': 'Zhiyuan', 'last': 'Li'}, {'first': 'Weidong', 'last': 'Wang'}]",Journal of Communications and Information Networks,4,http://link.springer.com/article/10.1007/s41650-017-0039-1,https://doi.org/10.1007/s41650-017-0039-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:03 +1000,10.1007/s10639-018-9805-4,,15737608,,2289--2297,"Editorial for EAIT Issue 6, 2018",23,2018,http://link.springer.com/article/10.1007/s10639-018-9805-4,"[{'first': 'Arthur', 'last': 'Tatnall'}]",Education and Information Technologies,6,http://link.springer.com/article/10.1007/s10639-018-9805-4,https://doi.org/10.1007/s10639-018-9805-4,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:10 +1000,10.3103/s0005105519060025,,0005-1055,,309--314,The Specific Features of Source Data and Metadata Ontology in Virtual Reality Systems,53,2019,http://link.springer.com/article/10.3103/S0005105519060025,"[{'first': 'E.', 'middle': 'I.', 'last': 'Nesterova'}]",Automatic Documentation and Mathematical Linguistics,6,http://link.springer.com/article/10.3103/S0005105519060025,https://doi.org/10.3103/s0005105519060025,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/s42045-020-00042-x,,2520-8462,,158--170,Cooperative abnormal sound event detection in end-edge-cloud orchestrated systems,3,2020,http://link.springer.com/article/10.1007/s42045-020-00042-x,"[{'first': 'Jingrong', 'last': 'Wang'}, {'first': 'Kaiyang', 'last': 'Liu'}, {'first': 'George', 'last': 'Tzanetakis'}, {'first': 'Jianping', 'last': 'Pan'}]",CCF Transactions on Networking,3-4,http://link.springer.com/article/10.1007/s42045-020-00042-x,https://doi.org/10.1007/s42045-020-00042-x,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s11623-012-0226-z,,1614-0702,,679--683,"Zielkonflikte um Datenschutz, Sicherheit und Leben",36,2012,http://link.springer.com/article/10.1007/s11623-012-0226-z,"[{'first': 'Daniel', 'last': 'Kaboth'}, {'first': 'Bettina', 'last': 'We{\\ss}elmann'}, {'first': 'Johannes', 'last': 'Wiele'}]",Datenschutz und Datensicherheit - DuD,9,http://link.springer.com/article/10.1007/s11623-012-0226-z,https://doi.org/10.1007/s11623-012-0226-z,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1365/s40702-021-00773-5,,1436-3011,,1196--1212,{KI-unterst{\'{u}}tzte Plattform zur Fachkr{\'{a}}ftesicherung -- ein Kooperationsprojekt},58,2021,http://link.springer.com/article/10.1365/s40702-021-00773-5,"[{'first': 'Thomas', 'last': 'Bahlinger'}, {'first': 'Stefan', 'last': 'Reinheimer'}, {'first': 'Ronald', 'middle': 'P.', 'last': 'Smutny'}]",HMD Praxis der Wirtschaftsinformatik,5,http://link.springer.com/article/10.1365/s40702-021-00773-5,https://doi.org/10.1365/s40702-021-00773-5,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s42045-019-00018-6,,2520-8462,,83--97,Efficient scheduling for multi-stage coflows,2,2019,http://link.springer.com/article/10.1007/s42045-019-00018-6,"[{'first': 'Shuai', 'last': 'Zhang'}, {'first': 'Sheng', 'last': 'Zhang'}, {'first': 'Zhuzhong', 'last': 'Qian'}, {'first': 'Xiaoda', 'last': 'Zhang'}, {'first': 'Mingjun', 'last': 'Xiao'}, {'first': 'Jie', 'last': 'Wu'}, {'first': 'Jidong', 'last': 'Ge'}, {'first': 'Xiaoliang', 'last': 'Wang'}]",CCF Transactions on Networking,2,http://link.springer.com/article/10.1007/s42045-019-00018-6,https://doi.org/10.1007/s42045-019-00018-6,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s00287-019-01144-7,,1432122X,,20--27,"{,Wir m{\'{u}}ssen fast synchron zur technischen Entwicklung eine Debatte haben, die diesen Fortschritt zum Thema hat``}",42,2019,http://link.springer.com/article/10.1007/s00287-019-01144-7,"[{'first': 'Ranga', 'last': 'Yogeshwar'}, {'first': 'Peter', 'last': 'Pagel'}]",Informatik-Spektrum,1,http://link.springer.com/article/10.1007/s00287-019-01144-7,https://doi.org/10.1007/s00287-019-01144-7,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/978-3-319-13695-0_3,,,,25--34,In the Pursuit of Perfect 3D Digitization of Surfaces of Paintings : Geometry and Color Optimization,,2014,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_3,"[{'first': 'Maciej', 'last': 'Karaszewski'}, {'first': 'Krzysztof', 'last': 'Lech'}, {'first': 'Eryk', 'last': 'Bunsch'}, {'first': 'Robert', 'last': 'Sitnik'}]","Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection",,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_3,https://doi.org/10.1007/978-3-319-13695-0_3,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/978-3-030-76776-1_18,,,,262--275,Identifying the Impacts of Node Mobility on Network Layer Based Active and Passive Attacks in Mobile Ad Hoc Networks: A Simulation Perspective,,2021,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_18,"[{'first': 'Uthumansa', 'last': 'Ahamed'}, {'first': 'Shantha', 'last': 'Fernando'}]","Computing Science, Communication and Security",,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_18,https://doi.org/10.1007/978-3-030-76776-1_18,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:00 +1000,10.1007/978-3-030-14070-0_4,9783030140694,21945365,,19--27,"Comparing black ridge transport access control (TAC), brain waves authentication technology and secure sockets layer visibility appliance (SSL-VA)",800 Part F1,2019,http://link.springer.com/chapter/10.1007/978-3-030-14070-0_4,"[{'first': 'Hossein', 'last': 'Zare'}, {'first': 'Mohammad', 'middle': 'J.', 'last': 'Zare'}, {'first': 'Peter', 'last': 'Olsen'}, {'first': 'Mojgan', 'last': 'Azadi'}]",Advances in Intelligent Systems and Computing,,http://link.springer.com/chapter/10.1007/978-3-030-14070-0_4,https://doi.org/10.1007/978-3-030-14070-0_4,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:08 +1000,10.1007/978-3-030-76776-1_19,,,,276--286,Simulated Analysis of Double-Gate MOSFET and FinFET Structure Using High-k Materials,,2021,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_19,"[{'first': 'Pooja', 'last': 'Srivastava'}, {'first': 'S.', 'middle': 'C.', 'last': 'Bose'}]","Computing Science, Communication and Security",,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_19,https://doi.org/10.1007/978-3-030-76776-1_19,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s41233-020-00043-0,,2366-0139,,,Understanding self-reported stress among drivers and designing stress monitor using heart rate variability,6,2021,http://link.springer.com/article/10.1007/s41233-020-00043-0,"[{'first': 'Nova', 'last': 'Ahmed'}, {'first': 'Rahat', 'middle': 'Jahangir', 'last': 'Rony'}]",Quality and User Experience,1,http://link.springer.com/article/10.1007/s41233-020-00043-0,https://doi.org/10.1007/s41233-020-00043-0,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/s44150-021-00008-7,,2730-9886,,91--106,Infrared thermography for a quick construction progress monitoring approach in concrete structures,1,2021,http://link.springer.com/article/10.1007/s44150-021-00008-7,"[{'first': 'Mehdi', 'last': 'Pazhoohesh'}, {'first': 'Cheng', 'last': 'Zhang'}, {'first': 'Amin', 'last': 'Hammad'}, {'first': 'Zahra', 'last': 'Taromi'}, {'first': 'Armin', 'last': 'Razmjoo'}]","Architecture, Structures and Construction",2-3,http://link.springer.com/article/10.1007/s44150-021-00008-7,https://doi.org/10.1007/s44150-021-00008-7,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s42421-021-00044-1,,2523-3556,,109--118,Real-Time Traffic Counter Using Mobile Devices,3,2021,http://link.springer.com/article/10.1007/s42421-021-00044-1,"[{'first': 'P.', 'middle': 'S. Arun', 'last': 'Sooraj'}, {'first': 'Varghese', 'last': 'Kollerathu'}, {'first': 'Vinay', 'last': 'Sudhakaran'}]",Journal of Big Data Analytics in Transportation,2,http://link.springer.com/article/10.1007/s42421-021-00044-1,https://doi.org/10.1007/s42421-021-00044-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1007/s41050-021-00029-7,,2520-8497,,1--14,A Multilayer Proposal to a Smart Home Applied to Healthcare,4,2021,http://link.springer.com/article/10.1007/s41050-021-00029-7,"[{'first': 'Jose', 'middle': 'Reinaldo', 'last': 'Silva'}, {'first': 'Euler', 'middle': 'Cassio Tavares', 'last': 'Macedo'}, {'first': 'Yaney', 'middle': 'Gomez', 'last': 'Correa'}, {'first': 'Rafael', 'middle': 'Pereira', 'last': 'Medeiros'}]",Polytechnica,1,http://link.springer.com/article/10.1007/s41050-021-00029-7,https://doi.org/10.1007/s41050-021-00029-7,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:06 +1000,10.1007/s38314-021-0622-y,,,,24--27,on Automotive Electronics',16,2021,http://link.springer.com/article/10.1007/s38314-021-0622-y,"[{'first': 'Paul', 'last': 'Hansen'}]",ATZelectronics worldwide,5,http://link.springer.com/article/10.1007/s38314-021-0622-y,https://doi.org/10.1007/s38314-021-0622-y,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/s42242-020-00123-2,,25228552,,154--156,Industry news: 2020 high-impact publications in the BDM area,4,2021,http://link.springer.com/article/10.1007/s42242-020-00123-2,"[{'first': 'Liang', 'last': 'Ma'}]",Bio-Design and Manufacturing,1,http://link.springer.com/article/10.1007/s42242-020-00123-2,https://doi.org/10.1007/s42242-020-00123-2,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s38314-021-0601-3,,,,,Products,16.0,2021,http://link.springer.com/article/10.1007/s38314-021-0601-3,,ATZelectronics worldwide,3,http://link.springer.com/article/10.1007/s38314-021-0601-3,https://doi.org/10.1007/s38314-021-0601-3,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/s41403-021-00244-9,,2662-5415,,775--785,Light Harvesting Using Biomimetic Micro-textured Transparent Films for Photovoltaic Applications,6,2021,http://link.springer.com/article/10.1007/s41403-021-00244-9,"[{'first': 'Sohail', 'last': 'Ahmad'}, {'first': 'Himani', 'last': 'Sharma'}, {'first': 'Amit', 'last': 'Agrawal'}, {'first': 'Suhas', 'middle': 'S.', 'last': 'Joshi'}]",Transactions of the Indian National Academy of Engineering,3,http://link.springer.com/article/10.1007/s41403-021-00244-9,https://doi.org/10.1007/s41403-021-00244-9,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1007/s42979-021-00932-x,,2662-995X,,,A Systematic Survey on Human Behavior Recognition Methods,3,2022,http://link.springer.com/article/10.1007/s42979-021-00932-x,"[{'first': 'Meixue', 'last': 'Yuan'}, {'first': 'Shouke', 'last': 'Wei'}, {'first': 'Jindong', 'last': 'Zhao'}, {'first': 'Ming', 'last': 'Sun'}]",SN Computer Science,1,http://link.springer.com/article/10.1007/s42979-021-00932-x,https://doi.org/10.1007/s42979-021-00932-x,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1007/s42979-021-00951-8,,2662-995X,,,AlexNet Based Pirate Detection System,3,2022,http://link.springer.com/article/10.1007/s42979-021-00951-8,"[{'first': 'Ritu', 'last': 'Patil'}, {'first': 'N.', 'last': '{Vishal Goutham}'}, {'first': 'G.', 'middle': 'R.', 'last': '{Sunil Kumar}'}, {'first': 'Surekha', 'last': 'Borra'}]",SN Computer Science,2,http://link.springer.com/article/10.1007/s42979-021-00951-8,https://doi.org/10.1007/s42979-021-00951-8,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:00 +1000,10.1007/s11623-020-1305-1,,1614-0702,,456--461,Aus dem Nirwana,44,2020,http://link.springer.com/article/10.1007/s11623-020-1305-1,"[{'first': 'Guido', 'last': 'Frank'}, {'first': 'Thomas', 'last': 'Becker'}]",Datenschutz und Datensicherheit - DuD,7,http://link.springer.com/article/10.1007/s11623-020-1305-1,https://doi.org/10.1007/s11623-020-1305-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1007/s42979-021-00875-3,,2662-995X,,,A Smart Indoor Parking System,3,2022,http://link.springer.com/article/10.1007/s42979-021-00875-3,"[{'first': 'Rohit', 'middle': 'Kumar', 'last': 'Kasera'}, {'first': 'Tapodhir', 'last': 'Acharjee'}]",SN Computer Science,1,http://link.springer.com/article/10.1007/s42979-021-00875-3,https://doi.org/10.1007/s42979-021-00875-3,,,,
