type,abstract,booktitle,date-added,date-modified,doi,isbn,issn,keywords,pages,title,volume,year,bdsk-url-1,author,journal,number,url,bdsk-url-2,archiveprefix,arxivid,eprint,pmid
article,"M3art database contains data about colours behaviour in VIS and NIR spectral bands. The database is open, publicly available and should serve as the knowledge base for further study of optical properties of pigments, drawing materials and canvases. The content of database consists of FORS and digital camera data collected in range 400-1050nm. Measurements were made on up to three layer samples composed of canvas, underdrawing and colour layers. The colorants were selected to represent historical painting techniques in Gothic and Renaissance According to underdrawing acquisition ability four material categories were established.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/978-3-319-13695-0_17,,,,176--185,M3art: A Database of Models of Canvas Paintings,,2014,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_17,"[{'first': 'Jan', 'last': 'Bla{\\v{z}}ek'}, {'first': 'Jind{\\v r}ich', 'last': 'Soukup'}, {'first': 'Barbara', 'last': ""Zitov{\\'{a}}""}, {'first': 'Jan', 'last': 'Flusser'}, {'first': 'Janka', 'last': ""Hradilov{\\'{a}}""}, {'first': 'David', 'last': 'Hradil'}, {'first': ""Tom{\\'{a}}{\\v{s}}"", 'last': ""Tich{\\'{y}}""}]","Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection",,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_17,https://doi.org/10.1007/978-3-319-13695-0_17,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:03 +1000,10.1007/s10639-018-09856-1,,15737608,,,"Editorial for EAIT issue 1, 2019",24,2019,http://link.springer.com/article/10.1007/s10639-018-09856-1,"[{'first': 'Arthur', 'last': 'Tatnall'}]",Education and Information Technologies,1,http://link.springer.com/article/10.1007/s10639-018-09856-1,https://doi.org/10.1007/s10639-018-09856-1,,,,
article,"Die Retina ist wegen ihrer Unterscheidungskraft ein vielversprechendes biometrisches Merkmal, das vor allem für sicherheitsrelevante Systeme genutzt wird. Allerdings manifestieren sich auch zahlreiche Erkrankungen durch entsprechende Veränderungen der Retina. Die Nutzung solcher gesundheitsbezogener und für Zwecke der Authentifizierung unnötiger Daten ist daher unbedingt zu vermeiden. Dieser Beitrag befasst sich mit der Frage, welche gesundheitsrelevanten Informationen aus Retinabildern gewonnen werden können und welche Konsequenzen dies für den Entwurf biometrischer Systeme hat.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s11623-014-0211-9,,1614-0702,,482--486,{{\'{U}}berschussdaten in Retinabildern},38,2014,http://link.springer.com/article/10.1007/s11623-014-0211-9,"[{'first': 'Michael', 'last': 'Friedewald'}, {'first': 'Sebastian', 'last': 'Wawrzyniak'}, {'first': 'Frank', 'last': 'Pallas'}]",Datenschutz und Datensicherheit - DuD,7,http://link.springer.com/article/10.1007/s11623-014-0211-9,https://doi.org/10.1007/s11623-014-0211-9,,,,
article,"For the future development of cultural technology, access to the cultural foundations of these culture carriers is necessary. One established theory of this cultural foundation is the collective unconsciousness with archetypes as building blocks. A methodological challenge is adequate access to these unconscious layers of the human mind. Recent research in neuroscience contributes in ways to determine the minimally conscious state. Combining these neuroscience results with the upcoming development of brain/body-computer interfaces enables us to envision new ways to establish interactions among culture carriers like humans and their cultural determinations. First, we present an overview of the known ways to get access to conscious layers, and then we discuss the potential of upcoming approaches. New technology enables us to develop new types of interfaces which are directly connected to brain/body processes. Next to direct brain connections, we introduce and discuss the possibilities of tapping into other physiological processes, especially processes of the autonomous nervous system. Finally, we are presenting and discussing the theoretical implications of the architecture of the human mind and the interfaces between all components of the conscious and unconscious parts. Potential access to the five unconscious layers of the human mind can enable new types of cultural developments.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/978-3-030-77431-8_18,,,,274--294,How to Access and Transform the Unconscious for Cultural Development,,2021,http://link.springer.com/chapter/10.1007/978-3-030-77431-8_18,"[{'first': 'Matthias', 'last': 'Rauterberg'}]",Culture and Computing. Design Thinking and Cultural Computing,,http://link.springer.com/chapter/10.1007/978-3-030-77431-8_18,https://doi.org/10.1007/978-3-030-77431-8_18,,,,
article,"Distributed Denial of Service (DDoS) attacks grow rapidly and cause a serious risk to network security. DDoS attacks intentionally occupy resources such as computing power and bandwidth to deny the services to potential users. So the automatic identification of DDoS attacks is very important. Machine Learning is the proven technology for the identification of such attacks. Over the decade many researchers have taken detection of DDoS attacks as the research objective and succeeded as well. However many more research needs to be explored in the identification of DDoS attacks due to the inefficiency of their techniques in terms of performance, accuracy, identification, and collection of data, normalized data set, feature reduction, and computational cost. We tried Back Propagation Neural Network (BPNN) with supervised machine learning technique to recognize the DDoS attacks at Network/Transport layer. We experimented with a dataset consisting of 4 lakh records of synthetic data, out of which we used 70% of the dataset for training purpose and performance measure on the rest 30% of the dataset. Our experimental results show that 97.7% of DDoS attacks were successfully identified and this technique does not decrease performance and can be easily spread out to broader DDoS attacks.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/978-3-030-76776-1_4,,,,46--66,DDoS Attack Detection Using Artificial Neural Network,,2021,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_4,"[{'first': 'Abhinav', 'last': 'Shah'}, {'first': 'Digvijaysinh', 'last': 'Rathod'}, {'first': 'Dharmesh', 'last': 'Dave'}]","Computing Science, Communication and Security",,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_4,https://doi.org/10.1007/978-3-030-76776-1_4,,,,
article,"In a time in which a significant amount of interpersonal interactions take place online, one must enquire to which extent are these milieus suitable for supporting the complexity of our communication. This is especially important in more sensitive domains, such as the one of Online Dispute Resolution, in which inefficient communication environments may result in misunderstandings, poor decisions or the escalation of the conflict. The conflict manager, in particular, may find his skills severely diminished, namely in what concerns the accurate perception of the state of the parties. In this paper the development of a rich communication framework is detailed that conveys contextual information about their users, harnessed from the transparent analysis of their behaviour while communicating. Using it, the conflict manager may not only better perceive the conflict and how it affects each party but also take better contextualized decisions, closer to the ones taken in face-to-face settings.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/978-3-662-45960-7_17,,,,232--246,Harnessing Content and Context for Enhanced Decision Making,,2014,http://link.springer.com/chapter/10.1007/978-3-662-45960-7_17,"[{'first': 'Paulo', 'last': 'Novais'}, {'first': 'Davide', 'last': 'Carneiro'}, {'first': 'Francisco', 'last': 'Andrade'}, {'first': ""Jos{\\'{e}}"", 'last': 'Neves'}]",AI Approaches to the Complexity of Legal Systems,,http://link.springer.com/chapter/10.1007/978-3-662-45960-7_17,https://doi.org/10.1007/978-3-662-45960-7_17,,,,
article,"Venen Biometrie erregt Aufmerksamkeit durch zunehmende Verwendung im Finanzsektor bei biometrischen
Geldautomaten und im Homebanking – Grund genug diesen neueren biometrischen Methoden etwas genauer
auf den Zahn zu fühlen.
",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s11623-019-1215-2,,1614-0702,,16--22,Venen Biometrie,44,2020,http://link.springer.com/article/10.1007/s11623-019-1215-2,"[{'first': 'Andreas', 'last': 'Uhl'}]",Datenschutz und Datensicherheit - DuD,1,http://link.springer.com/article/10.1007/s11623-019-1215-2,https://doi.org/10.1007/s11623-019-1215-2,,,,
article,"Organic semiconductor based photodetectors would be very attractive, innovative and well suited for light detection applications. The requirement of organic semiconductor in photonic device is to low cost, light weight, mechanical flexibility, chemical modification, tunability of absorption range with co-evaporation and co-mixing of molecules and easy to integrate. In fact, organic optoelectronics devices are more eco-friendly and energy efficient. In this research work, main objective is to fabricate and characterize organic semiconductor based photo detector with a proper choice of organic semiconductor as donor and acceptor and optimize by employing diversified organic semiconductors for fast response time, high photosensitivity, high quantum efficiency, low dark current, large dynamic range and long life time. The equivalent circuit model of the proposed organic photo detector (OPD) structure has been designed and simulated using MATLAB Simulink in which Rubrene and BPPC are used as active layer of OPD. 500 MHz of Operating frequency is to be found in this proposed OPD that is much higher than the speed of the red light illumined Bi-layer OPDs reported till today.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s40012-016-0150-8,,2277-9078,,149--160,Fabrication and characterization of organic semiconductor based photodetector for optical communication,5,2017,http://link.springer.com/article/10.1007/s40012-016-0150-8,"[{'first': 'Debarati', 'last': 'Nath'}, {'first': 'Puja', 'last': 'Dey'}, {'first': 'Debajit', 'last': 'Deb'}, {'first': 'Jayanta', 'middle': 'Kumar', 'last': 'Rakshit'}, {'first': 'Jitendra', 'middle': 'Nath', 'last': 'Roy'}]",CSI Transactions on ICT,2,http://link.springer.com/article/10.1007/s40012-016-0150-8,https://doi.org/10.1007/s40012-016-0150-8,,,,
article,"From the last few decades, a lot of research work has been conducted to develop wireless sensor networks (WSN) for wide variety of applications such as agriculture and environment monitoring, healthcare, military applications etc. Nowadays, the academicians and researchers are working on resolving various research issues in this technology domain. A few of the research issues faced by researchers’ are designing low cost and low power motes, network topologies, deployment strategies, and energy efficient data routing protocols. A lot of research has already been done in each of the mentioned areas individually but only a few research articles or literature discusses research work about two or more areas collectively. The existing literature explores the simulation work only and a few has given the description of complete design, development and deployment of a WSN. This paper presents the detailed discussion in form of literature review of each aspect of WSN design starting from mote design and ending to associated application. Since a lot of applications are using WSNs for monitoring purpose, this paper focuses on one of the most crucial application for livelihood i.e. crop production or agriculture domain.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s40012-020-00289-1,,2277-9078,,331--345,"Wireless sensor networks: a review of motes, wireless technologies, routing algorithms and static deployment strategies for agriculture applications",8,2020,http://link.springer.com/article/10.1007/s40012-020-00289-1,"[{'first': 'Pawan', 'last': 'Kumar'}, {'first': 'S.', 'middle': 'R. N.', 'last': 'Reddy'}]",CSI Transactions on ICT,3,http://link.springer.com/article/10.1007/s40012-020-00289-1,https://doi.org/10.1007/s40012-020-00289-1,,,,
article,"In the early growth stages of young crops, weeds compete for living resources while often grow close together and with overlaps. Conventional weeding techniques such as mechanical weeding and herbicide application are not precision methods. To allow for high precision target and spraying of weeds, autonomous field robots equipped with computer vision systems could be deployed to manage and control the weeds in the crop line. The robots are therefore required to classify weeds at pixel-level accuracy with high recall rates. This paper presents a pixel-level weed classification model using rotation-invariant uniform local binary pattern (LBP) features. The model design is based on an ensemble with a two-level optimisation structure. The first-level leverages on Genetic Algorithm (GA) optimisation to select the best rotation-invariant uniform LBP configurations. The second level utilises covariance matrix adaptation evolution strategy (CMA-ES) in the Neural Network (NN) ensemble to select the best combinations of voting weights of the predicted outcome for each classifier. This model design allows for different feature inputs selected by GA for each of the NN classifiers in the ensemble, unlike classical ensembles which share the same input data. For ensemble weight optimisation, we compared differential evolution, particle swarm optimisation, and CMA-ES. A crop/weed field image dataset public dataset consisting of 60 images of weeds and carrots at early true leaf stage was used for validation with existing works. The results demonstrated that our LBP-based pixel-level classifier exhibits excellent predictive capability with high recall and F1 scores when compared to the literature. It was found that CMA-ES optimised ensemble gave the best configuration and demonstrated a classification accuracy of 87.9%, which exceeded the existing statistical feature classification of 85.9%. This highlights some potentialities for chip-based application-specific integrated circuit LBP pixel-level weed classification in smart agriculture applications.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s42979-020-00357-y,,2662-995X,,,Pixel-Level Weed Classification Using Evolutionary Selection of Local Binary Pattern in a Stochastic Optimised Ensemble,1,2020,http://link.springer.com/article/10.1007/s42979-020-00357-y,"[{'first': 'Basil', 'middle': 'Andy', 'last': 'Lease'}, {'first': 'W.', 'middle': 'K.', 'last': 'Wong'}, {'first': 'Lenin', 'last': 'Gopal'}, {'first': 'Choo', 'middle': 'W. R.', 'last': 'Chiong'}]",SN Computer Science,6,http://link.springer.com/article/10.1007/s42979-020-00357-y,https://doi.org/10.1007/s42979-020-00357-y,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/s11042-017-5154-3,,15737721,,24589--24593,Computational intelligence for multimedia and industrial applications,76,2017,http://link.springer.com/article/10.1007/s11042-017-5154-3,"[{'first': 'Gwanggil', 'last': 'Jeon'}, {'first': 'Ernesto', 'last': 'Damiani'}, {'first': 'Marco', 'last': 'Anisetti'}]",Multimedia Tools and Applications,23,http://link.springer.com/article/10.1007/s11042-017-5154-3,https://doi.org/10.1007/s11042-017-5154-3,,,,
article,"Indoor wireless communication networking has received significant attention along with the growth of indoor data traffc. VLC (Visible Light Communication) as a novel wireless communication technology with the advantages of a high data rate, license-free spectrum and safety provides a practical solution for the indoor high-speed transmission of large data traffc. However, limited coverage is an inherent feature of VLC. In this paper, we propose a novel hybrid VLC-Wi-Fi system that integrates multiple links to achieve an indoor high-speed wide-coverage network combined with multiple access, a multi-path transmission control protocol, mobility management and cell handover. Furthermore, we develop a hybrid network experiment platform, the experimental results of which show that the hybrid VLC-Wi-Fi network outperforms both single VLC and Wi-Fi networks with better coverage and greater network capacity.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/s41650-017-0039-1,,2096-1081,,75--87,Design and realization of indoor VLC-Wi-Fi hybrid network,2,2017,http://link.springer.com/article/10.1007/s41650-017-0039-1,"[{'first': 'Wentao', 'last': 'Zhang'}, {'first': 'Li', 'last': 'Chen'}, {'first': 'Xiaohui', 'last': 'Chen'}, {'first': 'Zihao', 'last': 'Yu'}, {'first': 'Zhiyuan', 'last': 'Li'}, {'first': 'Weidong', 'last': 'Wang'}]",Journal of Communications and Information Networks,4,http://link.springer.com/article/10.1007/s41650-017-0039-1,https://doi.org/10.1007/s41650-017-0039-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:03 +1000,10.1007/s10639-018-9805-4,,15737608,,2289--2297,"Editorial for EAIT Issue 6, 2018",23,2018,http://link.springer.com/article/10.1007/s10639-018-9805-4,"[{'first': 'Arthur', 'last': 'Tatnall'}]",Education and Information Technologies,6,http://link.springer.com/article/10.1007/s10639-018-9805-4,https://doi.org/10.1007/s10639-018-9805-4,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:10 +1000,10.3103/s0005105519060025,,0005-1055,,309--314,The Specific Features of Source Data and Metadata Ontology in Virtual Reality Systems,53,2019,http://link.springer.com/article/10.3103/S0005105519060025,"[{'first': 'E.', 'middle': 'I.', 'last': 'Nesterova'}]",Automatic Documentation and Mathematical Linguistics,6,http://link.springer.com/article/10.3103/S0005105519060025,https://doi.org/10.3103/s0005105519060025,,,,
article,"In this paper, we propose a novel cooperative abnormal sound event detection framework for city surveillance in end-edge-cloud orchestrated systems. A novel offloading decision-making scheme that leverages hierarchical computational capabilities is proposed to speed up the detection process. The audio pre-processing (feature extraction) and post-processing (sound source localization and sound event classification) can be locally executed or offloaded to the edge or cloud based on the calculation of the so-called communication-to-computation ratio. Furthermore, considering the biased audio information due to source-sensor geometries, a cooperative decision-making algorithm is proposed to aggregate the sound event classification results with adaptive control and ensemble learning. In the audio pre-processing, the log-mel spectrogram and time of arrival information are first extracted from the audio waveform captured by the distributed acoustic sensors and then sent to the computation entity assigned by the offloading scheme. In the audio post-processing, the sound source is localized through least-square minimization. Guided by the localized sound source, the spectrograms are fed into the pre-trained neural networks and then the result aggregation algorithm for further classification. Extensive experiments regarding latency and detection accuracy show the superiority and robustness of the proposed scheme, avoiding the cumulative latency caused by the increased number of sensors while maintaining high detection accuracy.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/s42045-020-00042-x,,2520-8462,,158--170,Cooperative abnormal sound event detection in end-edge-cloud orchestrated systems,3,2020,http://link.springer.com/article/10.1007/s42045-020-00042-x,"[{'first': 'Jingrong', 'last': 'Wang'}, {'first': 'Kaiyang', 'last': 'Liu'}, {'first': 'George', 'last': 'Tzanetakis'}, {'first': 'Jianping', 'last': 'Pan'}]",CCF Transactions on Networking,3-4,http://link.springer.com/article/10.1007/s42045-020-00042-x,https://doi.org/10.1007/s42045-020-00042-x,,,,
article,"Primäre Organisationsziele vertragen sich mit Vorgaben aus den Bereichen Informationssicherheit und Datenschutz nicht immer. Die Konflikte treten im medizinischen Umfeld in extremer Ausprägung auf - und lassen sich nur lösen, wenn der einzelne Mitarbeiter zu den richtigen Entscheidungen im Einzelfall befähigt wird. Genau diesen Weg werden im „Bring-your-own-Device“-Zeitalter auch andere Branchen einschlagen müssen.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s11623-012-0226-z,,1614-0702,,679--683,"Zielkonflikte um Datenschutz, Sicherheit und Leben",36,2012,http://link.springer.com/article/10.1007/s11623-012-0226-z,"[{'first': 'Daniel', 'last': 'Kaboth'}, {'first': 'Bettina', 'last': 'We{\\ss}elmann'}, {'first': 'Johannes', 'last': 'Wiele'}]",Datenschutz und Datensicherheit - DuD,9,http://link.springer.com/article/10.1007/s11623-012-0226-z,https://doi.org/10.1007/s11623-012-0226-z,,,,
