id,title,abstract,"Normal paper? (e.g., not a survey paper, report or proposal)",Using near-infrared?,Mobile?,"Technical? (e.g., not a fundamental study or use a product only)","Involving apparatus? (e.g., not a chip or filter design, or a dataset)",Included?,doi,Remarks
34,A Low-Cost NIR Digital Photometer Based on InGaAs Sensors for the Detection of Milk Adulterations With Water,"The adulteration of milk with water is a very common problem, which reduces its nutritional value and industrial yield, and can also represent a major risk of contamination. The standard method for detecting this kind of fraud is the cryoscopy, which fails when the adulteration is done along with other substances. Therefore, there is a need for new and more robust techniques for this purpose. With this goal, we propose a prototype of a digital photometer to quantify water added to milk. This is a microcontrolled, portable device, which uses three LEDs with emission in the near-infrared (IR) region and was developed without the use of lenses, filters, or moving parts. This equipment measures the transmittance of IR radiation through milk samples to assess the addition of water. In this paper, we present the results of experiments that were conducted with diluted milk samples containing 0%-25% of added water, using the proposed equipment and the standard method of cryoscopy. In the measurements of the percentage of added water, the mean absolute error was <;1%. In terms of repeatability, in two sets of ten measurements, we obtained absolute deviations from the average corresponding to less than 0.7% of added water. Results show that the prototype response is similar to the one of a commercial cryoscope but faster.",,,,,,,10.1109/JSEN.2016.2530873,
36,A Luminescence Signal Detector for Oncofluorometry of the Near Infrared Region,"Abstract: A portable high-sensitivity device for recording weak luminescence signals in the near infrared (NIR) region (900--1100 nm) has been developed for applications in laser oncofluorometry. The device consists of a housing with optical lenses, interference filters, and a high-sensitivity NIR photodiode module with a preamplifier, protection circuit, and power supply. It is shown that the use of interference filters of the SL 930--1100 type can significantly increase the efficiency of the device. The use of a photodiode module unit with a sensitivity peak near 960 nm, which maximally coincides with the luminescence peak of ytterbium porphyrin complexes, ensures the sensitivity of detecting weak luminescence signals at the level of several fW.",,,,,,,10.1134/S1064226921010095,
37,A miniature design of near infrared spectrometer with wide field of view,"The principle of all types of spectrometers and structural features are studied, a new metrhod to design prism spectrometer system with wide field of view is proposed,which is based on the offner struture.This type of spectrometer allows twice dispersion through the same prism.Compared with the traditional dispersive spectrometer system,which can be greater dispersion width and smaller volume.Compared with the gating spectrometer,which overcomes low diffracion efficiency,spectrum overlapping, ghosts, low SIR and other shortcomings. Finally, the design results were analyzed, and the image quality was evaluated.The results from the design anslysis showed the spectrometer has a smaller spectrum bending,the MTF of the system at different wavelengths is close to the diffraction limit and the design meets the requirements.",,,,,,,10.1117/12.2072129,
38,A Miniature Near-infrared Spectrometer Based on Linear Variable Filter,"A miniature near-infrared spectrometer based on Linear Variable Filter (LVF) was developed. The optical path and optics parameters of the spectrometer was optimized by Lighttools, and SolidWorks was used to model the spectrometer. The working wavelength range of the spectrometer is 970nm-1630nm, the resolution of the miniature near-infrared spectrometer at the central wavelength is 15nm, the diameter is 71mm, and the length is 76mm. We used the laser with wavelength of 1310nm and 1490nm as the light source to test the resolution of the miniature near-infrared spectrometer. Finally, we obtained the absorbance curve of water by testing filter papers of different humidity.",,,,,,,10.1109/ICOCN.2019.8934424,
39,A miniaturized colorimeter with a novel design and high precision for photometric detection,"Water quality detection plays an increasingly important role in environmental protection. In this work, a novel colorimeter based on the Beer-Lambert law was designed for chemical element detection in water with high precision and miniaturized structure. As an example, the colorimeter can detect phosphorus, which was accomplished in this article to evaluate the performance. Simultaneously, a modified algorithm was applied to extend the linear measurable range. The colorimeter encompassed a near infrared laser source, a microflow cell based on microfluidic technology and a light-sensitive detector, then Micro-Electro-Mechanical System (MEMS) processing technology was used to form a stable integrated structure. Experiments were performed based on the ammonium molybdate spectrophotometric method, including the preparation of phosphorus standard solution, reducing agent, chromogenic agent and color reaction. The device can obtain a wide linear response range (0.05 mg/L up to 7.60 mg/L), a wide reliable measuring range up to 10.16 mg/L after using a novel algorithm, and a low limit of detection (0.02 mg/L). The size of flow cell in this design is 18 mm × 2.0 mm × 800 µm, obtaining a low reagent consumption of 0.004 mg ascorbic acid and 0.011 mg ammonium molybdate per determination. Achieving these advantages of miniaturized volume, high precision and low cost, the design can also be used in automated in situ detection.",,,,,,,10.3390/s18030818,
40,A miniaturized near infrared spectrometer for non-invasive sensing of bio-markers as a wearable healthcare solution,"A novel miniaturized near-infrared spectrometer readily mountable to wearable devices for continuous monitoring of individual's key bio-markers was proposed. Spectrum is measured by sequential illuminations with LED's, having independent spectrum profiles and a continuous detection of light radiations from the skin tissue with a single cell PD. Based on Tikhonov regularization with singular value decomposition, a spectrum resolution less than 10nm was reconstructed based on experimentally measured LED profiles. A prototype covering first overtone band (1500-1800nm) where bio-markers have pronounced absorption peaks was fabricated and verified of its performance. Reconstructed spectrum shows that the novel concept of miniaturized spectrometer is valid.",,,,,,,10.1117/12.2256293,
43,A multimodal drowsiness monitoring ear-module system with closed-loop real-time alarm,"A closed-loop electroencephalogram (EEG) - near-infrared spectroscopy (NIRS) ear-module system for wearable drowsiness system is proposed. It is implemented on the earpiece and ear hook. Thanks to the ear-module SoC in the earpiece, the proposed system monitors 1-ch EEG and 1-ch NIRS simultaneously with small form-factor. Since the NIRS signal can be easily distorted because of ambient light and extra-cerebral artifact, dedicated noise reduction scheme is proposed for ear-NIRS. After the measured physiology signal is transferred to MCU in the ear hook, it is preprocessed and classified. With the classified result, alarm makes user feel awake. The proposed system is fully implemented and verified by Oxford Sleep Resistance Test. It shows the improved classification accuracy up to 20%. As a result, the proposed system is expected to be effectively utilized for closed-loop drowsiness monitoring with the multimodal signal monitoring and auditory alarm as well as convenient and non-intrusive form factor. It has only 40g weight and operates at least 5 hours with 3.6V 200mAh rechargeable battery.",,,,,,,10.1109/BioCAS.2016.7833850,
44,A near-infrared gas sensor system based on tunable laser absorption spectroscopy and its application in CH<inf>4</inf>/C<inf>2</inf>H<inf>2</inf> detection,"A near-infrared (NIR) dual-channel differential gas sensor system was experimentally demonstrated based on tunable laser absorption spectroscopy (TLAS) and wavelength modulation spectroscopy (WMS). The sensor consists of four modules, including distributed feedback (DFB) lasers for the detection of targeted gases, a custom portable DFB driver compatible for butterfly-packaged DFB lasers, a 20cm-long open-reflective gas-sensing probe and a custom costeffective lock-in amplifier for harmonic signal extraction. The optical and electrical modules were integrated into a standalone sensor system, which possesses advantages of user-friendly operation, good stability, small volume and low cost. With different DFB lasers, the sensor system can be used to detect different gases. Two DFB diode lasers with emission wavelengths of 1.65 μm and 1.53 μm were used to detect CH4 and C2H2, respectively. Standard CH4 and C2H2 samples were prepared and experiments were carried out to evaluate the performance of the two-gas TLAS sensor system. The relation between the second harmonic amplitudes (2f) and gas concentrations was obtained for the two gases by means of calibration. Both the detection error and the limit of detection (LoD) were determined experimentally. The sensor system will be useful in industrial trace gas monitoring due to its use of a low-loss optical fiber and an openreflective gas-sensing probe.",,,,,,,10.1117/12.2250965,
45,A Neuroimaging Approach to Evaluate Choices and Compare Performance of Tower Air Traffic Controllers During Missed Approaches,"The aim of this research is to use functional Near-Infrared Spectroscopy to compare and contrast brain activation for professional versus novice Tower Air Traffic Controllers when performing their daily tasks, whilst accounting for missed approaches. With functional Near-Infrared Spectroscopy chosen due to its ability to continuously monitor brain activity for mobile participants in their workplace settings, increasing ecological validity, as well as being safe, inexpensive, and benefitting from low set-up times, resulting in excellent temporal resolution as well as superior spatial resolution over Electroencephalogram. If a significant difference in activation is observed between professional and novice ATCOs, the neuroimaging data can be used as a benchmark for future exploratory studies using the obtained neuroimaging data to serve as a reliable quantitative measure to track performance during Air Traffic Controller training, establishing a metric to distinguish novice from professional Air Traffic Controllers. Our hypothesis is that professional tower controllers will have a decrease in brain activation due to their experience. Contrastingly, novice tower controllers would have more extensive brain activation, given a lack of experience relying soley on training. Additionally, we expect to see a significant difference in sustained attention activation between professionals and novices. The tasks that the tower controllers will be expected to resolve will be a series of tower control duties that will be severely impacted by a range of factors that will intentionally make the successful performance of their duties strained.",,,,,,,10.1007/978-3-030-50353-6_8,
48,A New Low-Cost And Portable Optical Device For Real-Time Assessment Of Tissue Microcirculation,"In this work, we have developed a new portable optical device to assess tissue microcirculation. Our system is based on the idea that we can calculate tissue oxygen saturation by analyzing tissue interaction with light at two different wavelengths. The optical device involves measuring the quantitative tissue oxygen saturation value using information obtained from light-tissue interaction with sensors designed to functionally connect to the patient. For this purpose; two LEDs which enable to emission in near-infrared wavelengths and a photodiode which capable of measuring the intensity of the light reflected from the tissue were used with a dedicated hardware and software system. The optical device is fast, reliable and reasonable price considering similar systems. Additionally, it has a user friendly interface and let its users store data in SD Card. The results suggested that the optical device may sensitive to measure the tissue oxygen saturation levels in vivo. The optical system has the potential to improve bedside monitoring device for assessing tissue viability.",,,,,,,10.1109/TIPTEKNO.2019.8895200,
50,A new near-infrared spectroscopy system for detection of hemoglobin and water concentration changes during a human activity,"Recent advancements in the field of neuroscience have demonstrated that near-infrared spectroscopy (NIRS) has been widely used to measure the concentration changes in the blood chromophores during an activity. Unlike the other imaging methodologies, NIRS system can be constructed low cost, portable and easy to use. Water possess about 80% of the blood chromophores, so it is important to find out the effect of water concentration change during an human body activity In this paper, we have developed a wireless NIRS system that not only determine the concentration change of oxy-hemoglobin (HbO) and deoxy-hemoglobin (HbR) but it can also find out the concentration change of water (H2O). Our wireless system is composed of a microcontroller, an optical probe, tri-wavelength light emitting diodes (LEDs), photodiodes, WiFi communication module and battery. To test the functionality of the system, arterial occlusion experiment was performed over a male healthy subject. During the experiment, NIRS system showed the corresponding hemoglobin change and water concentration change. Results show that there is no change in the H 2O concentration during the occlusion period but after the blood is released again water concentration increases. {\copyright} 2013 IEEE.",,,,,,,10.1109/ROBIONETICS.2013.6743608,
52,A Non-Invasive Blood Insulin and Glucose Monitoring System Based on Near-Infrared Spectroscopy with Remote Data Logging,"This paper presents the development of a portable, Non-Invasive device for monitoring patients' blood Insulin and Glucose concentration. It is based on Near-Infrared(NIR) Spectroscopy. Perkin-Elmer Lambda 750 spectrometer was used to study the absorbance of Insulin and glucose at different wavelengths of NIR region. NIR LED (Light Emitting diode) of appropriate wavelengths were used to construct a finger clip. A separate Printed Circuit Board (PCB) was constructed; that connects to the finger clip and acquires the Photoplethysmography (PPG) signal at three separate NIR wavelengths. The PPG signal can be used to detect the concentartion of Glucose and Insulin in blood. The PCB has a WiFi module interfaced within it; that supports Internet connectivity and uploads the time series data of insulin and glucose to a server. The data can be viewed in a graphical format by authorized users. This can be used by a medical practitioner to understand whether the data shows an increasing or decreasing trend and hence, will enable to prognosticate the approaching critical condition of the patient much before the critical condition actually occurs.",,,,,,,10.1109/CBMS.2018.00055,
53,A noninvasive device for simultaneous monitoring arterial and venous blood oxygenation and its test in vacuum-based cupping therapy,"A portable and noninvasive blood oxygenation device that uses light-emitting diodes and three-wavelength near spectroscopy has been developed The device is compact enough to be portable and it is therefore expected to make better use of the advantages of NIRS-based oximetry and to expand the scope of applications of monitoring blood oxygenation. The algorithm for the device was mentioned briefly. From evaluation tests of the algorithm applied to in vitro measurements, it was confirmed that a good linear response to the concentration of oxygenated and deoxygenated arterial and venous blood In vivo measurements, we nwnitored the blood oxygenation in the cupping therapy, and the results turned out the device to have a good performance. The cupping therapy indeed can mobilize blood flow effectively.",,,,,,,10.1109/INEC.2016.7589311,
55,A novel approach to classify edible oil using multiple classifier fusion based on spectral data,"The paper investigates the discrimination ability of the short-wave near-infrared spectroscopy for the classification of various edible oils used in India. Spectral characterization of mustard, olive, rice bran, sunflower and soybean oils are recorded by a portable near infrared (NIR) spectrometer in the range of 250-925 nm of wavelength. Due to high dimensionality problem, principal component analysis (PCA) is used here for extracting only the significant features from the near infrared spectra. Hidden clusters in the dataset are identified by applying the principal component analysis (PCA). For classification purpose multilayer perceptron (MLP) and support vector machine (SVM) are used in this work. Moreover, classifier fusion strategy using Dempster Shafer Evidence Theory is implemented to increase the prediction accuracy. The results clearly indicate the efficacy of multiple classifier fusion technique when applied to near infrared spectrometry data for edible oil classification.",,,,,,,10.1109/ICICPI.2016.7859684,
56,A novel device for non-invasive assessment of extravasation during injection by NIRS technology,"Extravasation injury is caused by the efflux of solutions from a vessel into surrounding tissue spaces during intravenous infusion and cannot be observed on the skin easily. When the drug exuding from the blood vessel spreads to the subcutaneous tissue and the problem is not dealt with promptly, it not only causes discomfort and pain, but could also result in tissue necrosis or even amputation. This study proposed a novel wearable device for extravasation monitoring based on array sensor with Near-infrared spectroscopy (NIRS) to detect the abnormal changes of fluid volume in tissue, such as blood and drug. The array sensor was composed of four 760 nm transmitters and processed with time division method in every 1.2s. The results indicated that the proposed method could successfully distinguish the subcutaneous region of extravasation with high sensitivity and could be monitored on the OLED screen. It also could be transmission of data to a PC via Wi-Fi for further real-time analysis. The design had the potential to be an assistant tool for related application on clinical care.",,,,,,,10.1109/ICSENS.2017.8234371,
